|Date|Address|Species|Block|Street|Trap|AddressNumberAndStreet|Latitude|Longitude|AddressAccuracy|NumMosquitos|WnvPresent
553|2007-07-18|3800 East 115th Street, Chicago, IL 60617, USA|CULEX PIPIENS/RESTUANS|38| E 115TH ST|T215|3800  E 115TH ST, Chicago, IL|41.686398|-87.531635|8|50|1
603|2007-07-25|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS/RESTUANS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
611|2007-07-25|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS/RESTUANS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
618|2007-07-25|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
660|2007-07-25|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
661|2007-07-25|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
777|2007-08-01|4100 North Oak Park Avenue, Chicago, IL 60634, USA|CULEX PIPIENS/RESTUANS|41| N OAK PARK AVE|T002|4100  N OAK PARK AVE, Chicago, IL|41.95469|-87.800991|9|50|1
778|2007-08-01|4100 North Oak Park Avenue, Chicago, IL 60634, USA|CULEX PIPIENS/RESTUANS|41| N OAK PARK AVE|T002|4100  N OAK PARK AVE, Chicago, IL|41.95469|-87.800991|9|21|1
784|2007-08-01|7900 West Foster Avenue, Chicago, IL 60656, USA|CULEX PIPIENS/RESTUANS|79| W FOSTER AVE|T015|7900  W FOSTER AVE, Chicago, IL|41.974089|-87.824812|8|5|1
812|2007-08-01|2200 West 113th Street, Chicago, IL 60643, USA|CULEX PIPIENS/RESTUANS|22| W 113TH ST|T086|2200  W 113TH ST, Chicago, IL|41.688324|-87.676709|8|33|1
842|2007-08-01|2200 West 89th Street, Chicago, IL 60643, USA|CULEX PIPIENS|22| W 89TH ST|T096|2200  W 89TH ST, Chicago, IL|41.731922|-87.677512|8|15|1
902|2007-08-01|University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA|CULEX PIPIENS/RESTUANS|11| S ASHLAND AVE|T090|1100  S ASHLAND AVE, Chicago, IL|41.868077|-87.666901|9|17|1
917|2007-08-01|4200 West 127th Street, Alsip, IL 60803, USA|CULEX PIPIENS/RESTUANS|42| W 127TH PL|T135|4200  W 127TH PL, Chicago, IL|41.662014|-87.72460799999999|8|50|1
